2022-07-12 02:48:17 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:17 install libexpat1:amd64 <none> 2.2.10-2+deb11u3
2022-07-12 02:48:17 status half-installed libexpat1:amd64 2.2.10-2+deb11u3
2022-07-12 02:48:17 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-07-12 02:48:17 install python3.9-minimal:amd64 <none> 3.9.2-1
2022-07-12 02:48:17 status half-installed python3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:17 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:17 startup packages configure
2022-07-12 02:48:17 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2022-07-12 02:48:17 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:17 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:17 status installed libpython3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:17 configure libexpat1:amd64 2.2.10-2+deb11u3 <none>
2022-07-12 02:48:17 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-07-12 02:48:17 status half-configured libexpat1:amd64 2.2.10-2+deb11u3
2022-07-12 02:48:17 status installed libexpat1:amd64 2.2.10-2+deb11u3
2022-07-12 02:48:17 configure python3.9-minimal:amd64 3.9.2-1 <none>
2022-07-12 02:48:17 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:17 status half-configured python3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:18 status installed python3.9-minimal:amd64 3.9.2-1
2022-07-12 02:48:18 startup archives unpack
2022-07-12 02:48:18 install python3-minimal:amd64 <none> 3.9.2-3
2022-07-12 02:48:18 status half-installed python3-minimal:amd64 3.9.2-3
2022-07-12 02:48:18 status unpacked python3-minimal:amd64 3.9.2-3
2022-07-12 02:48:18 install media-types:all <none> 4.0.0
2022-07-12 02:48:18 status half-installed media-types:all 4.0.0
2022-07-12 02:48:18 status unpacked media-types:all 4.0.0
2022-07-12 02:48:18 install libmpdec3:amd64 <none> 2.5.1-1
2022-07-12 02:48:18 status half-installed libmpdec3:amd64 2.5.1-1
2022-07-12 02:48:18 status unpacked libmpdec3:amd64 2.5.1-1
2022-07-12 02:48:18 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2022-07-12 02:48:18 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2022-07-12 02:48:18 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-07-12 02:48:18 install python3.9:amd64 <none> 3.9.2-1
2022-07-12 02:48:18 status half-installed python3.9:amd64 3.9.2-1
2022-07-12 02:48:18 status unpacked python3.9:amd64 3.9.2-1
2022-07-12 02:48:18 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-07-12 02:48:18 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-07-12 02:48:18 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-07-12 02:48:18 startup packages configure
2022-07-12 02:48:18 configure python3-minimal:amd64 3.9.2-3 <none>
2022-07-12 02:48:18 status unpacked python3-minimal:amd64 3.9.2-3
2022-07-12 02:48:18 status half-configured python3-minimal:amd64 3.9.2-3
2022-07-12 02:48:19 status installed python3-minimal:amd64 3.9.2-3
2022-07-12 02:48:19 startup archives unpack
2022-07-12 02:48:19 install python3:amd64 <none> 3.9.2-3
2022-07-12 02:48:19 status half-installed python3:amd64 3.9.2-3
2022-07-12 02:48:19 status unpacked python3:amd64 3.9.2-3
2022-07-12 02:48:19 install libncurses6:amd64 <none> 6.2+20201114-2
2022-07-12 02:48:19 status half-installed libncurses6:amd64 6.2+20201114-2
2022-07-12 02:48:19 status unpacked libncurses6:amd64 6.2+20201114-2
2022-07-12 02:48:19 install libprocps8:amd64 <none> 2:3.3.17-5
2022-07-12 02:48:19 status half-installed libprocps8:amd64 2:3.3.17-5
2022-07-12 02:48:19 status unpacked libprocps8:amd64 2:3.3.17-5
2022-07-12 02:48:19 install procps:amd64 <none> 2:3.3.17-5
2022-07-12 02:48:19 status half-installed procps:amd64 2:3.3.17-5
2022-07-12 02:48:19 status unpacked procps:amd64 2:3.3.17-5
2022-07-12 02:48:19 install sensible-utils:all <none> 0.0.14
2022-07-12 02:48:19 status half-installed sensible-utils:all 0.0.14
2022-07-12 02:48:19 status unpacked sensible-utils:all 0.0.14
2022-07-12 02:48:19 install libmd0:amd64 <none> 1.0.3-3
2022-07-12 02:48:19 status half-installed libmd0:amd64 1.0.3-3
2022-07-12 02:48:19 status unpacked libmd0:amd64 1.0.3-3
2022-07-12 02:48:19 install libbsd0:amd64 <none> 0.11.3-1
2022-07-12 02:48:19 status half-installed libbsd0:amd64 0.11.3-1
2022-07-12 02:48:19 status unpacked libbsd0:amd64 0.11.3-1
2022-07-12 02:48:19 install libedit2:amd64 <none> 3.1-20191231-2+b1
2022-07-12 02:48:19 status half-installed libedit2:amd64 3.1-20191231-2+b1
2022-07-12 02:48:19 status unpacked libedit2:amd64 3.1-20191231-2+b1
2022-07-12 02:48:19 install libcbor0:amd64 <none> 0.5.0+dfsg-2
2022-07-12 02:48:19 status half-installed libcbor0:amd64 0.5.0+dfsg-2
2022-07-12 02:48:19 status unpacked libcbor0:amd64 0.5.0+dfsg-2
2022-07-12 02:48:19 install libfido2-1:amd64 <none> 1.6.0-2
2022-07-12 02:48:19 status half-installed libfido2-1:amd64 1.6.0-2
2022-07-12 02:48:19 status unpacked libfido2-1:amd64 1.6.0-2
2022-07-12 02:48:19 install openssh-client:amd64 <none> 1:8.4p1-5+deb11u1
2022-07-12 02:48:19 status half-installed openssh-client:amd64 1:8.4p1-5+deb11u1
2022-07-12 02:48:19 status unpacked openssh-client:amd64 1:8.4p1-5+deb11u1
2022-07-12 02:48:19 install ucf:all <none> 3.0043
2022-07-12 02:48:19 status half-installed ucf:all 3.0043
2022-07-12 02:48:19 status unpacked ucf:all 3.0043
2022-07-12 02:48:19 install libcurl3-gnutls:amd64 <none> 7.74.0-1.3+deb11u1
